Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,02301,500000.0,500200.0,4,1,1232.0,1971,4.0,0.23,2024-09-05,479999.0,2024-07-24,479999.0,4836.0,372600.0,2.0,27.0,1.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
A,02301,445000.0,447000.0,2,1,1142.0,1930,2.0,0.26,2024-08-19,445000.0,2024-06-27,429900.0,4019.0,309600.0,45.0,43.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,02301,549900.0,550100.0,3,2,1660.0,1984,4.0,0.29,2024-09-16,549000.0,2024-07-02,560000.0,5613.0,432400.0,62.0,48.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A,02301,487500.0,490900.0,3,2,1404.0,1850,2.0,0.45,2024-08-15,487500.0,2024-05-13,515000.0,4819.0,371300.0,37.0,40.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,02301,530000.0,473200.0,3,3,1400.0,2002,4.0,0.66,2024-09-20,530000.0,2015-05-18,459900.0,6086.0,392037.0,63.0,47.0,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
A,02301,805000.0,840200.0,4,4,3286.0,2000,2.0,0.69,2024-09-25,850000.0,2024-06-20,850000.0,8991.0,692700.0,10.0,25.0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A,02302,430000.0,435800.0,3,2,1650.0,1900,2.0,0.17,2024-07-25,430000.0,2023-05-03,430000.0,4849.0,373600.0,63.0,34.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A,02302,535000.0,538800.0,4,2,1496.0,1969,4.0,0.23,2024-08-23,524900.0,2024-06-21,524900.0,4555.0,350900.0,6.0,28.0,1.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,02302,525000.0,533400.0,3,1,1260.0,1958,1.0,0.24,2024-09-23,519900.0,2024-04-09,549900.0,4687.0,361100.0,17.0,32.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A,02302,505000.0,510300.0,4,2,1488.0,1961,4.0,0.24,2024-07-18,475000.0,2024-05-08,475000.0,5226.0,402600.0,53.0,42.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
